Key;English;Русский^
Прерывание также отключает эту способность.^
tutorial-detectors-label;;Детекторы^
tutorial-energy-description;;Использлвание способностей расходует энергию юнита.

Энергия восстанавливается со временем^
tutorial-energy-label;;Энергия^
tutorial-hinderance-description;;Теперь вы можете использовать Прерывание.

Для этого нажмите Q, затем левой кнопкой мыши на противника.

Юниты под действием Прерывания временно не могут атаковать и использовать способности.
^
tutorial-hinderance-label;;Прерывание^
tutorial-invasion-description;;Используйте Вторжение (T), чтобы захватить контроль над противником.

Вторжение расходует ваши ячейки контроля, в зависимости от юнита, которого вы хотите захватить.^
tutorial-invasion-label;;Вторжение^
tutorial-life-description;;Помимо здоровья у юнитов есть щиты.

Щиты восстанавливаются постепенно, пока юнит не получает урон.

Здоровье не восстанавливается.^
tutorial-life-label;;Здоровье и щиты^
tutorial-order-description;;Чтобы выбрать сразу несколько юнитов, проведите по ним мышкой с зажатой левой кнопкой.

Используйте ""Атака"" (A), чтобы приказать юнитам перемещаться в выбранную точку, атакуя всех противников на своём пути
 или атаковать собственных юнитов, чтобы освободить ячейки контроля.

Используйте ""Отменить"" (S), чтобы отменить все текущие приказы выбранных юнитов.

Используйте ""Удерживать позицию"" (D), чтобы приказать юнитам не сдвигаться с места.^
tutorial-order-label;;Управление юнитами^
tutorial-save-description;;В любой момент времени вы можете нажать F5. чтобы сохранить игру.

Нажмите F8, чтобы загрузить последнее сохранение.^
tutorial-save-label;;Быстрое сохранение и загрузка^
tutorial-tactical-pause-description;;В любой момент времени вы можете нажать Пробел, чтобы активировать тактическую паузу.

Во время паузы игра останавливается, однако вы всё ещё можете осматривать поле боя, планировать свои действия и отдавать приказы юнитам.
Вы можете отдавать приказы в очередь, удерживая Shift. Такие приказы будут исполнены по порядку.

Как только вы готовы продолжить игру, нажмите Пробел снова.^
tutorial-tactical-pause-label;;Тактическая пауза^
tutorial-enemy-select-description;;Нажмите левой кнопкой мыши на вражеского юнита, чтобы узнать о нём больше.^
tutorial-enemy-select-name;;Выбор противников^
tutorial-vision-description;;У противников, также как и у вас есть область видимости, которая не проходит через некоторые объекты.

Для того, чтобы отобразить область видимости противников, нажмите Alt.^
tutorial-vision-label;;Видимость^
ui-choose-a-target;Choose a target;Выберите цель^
ui-close;Close;Закрыть^
ui-continue;Continue;Продолжить^
ui-game-paused;Game paused;Игра приостановлена^
ui-loading;Loading...;Загрузка...^
ui-quit-the-game;Quit;Выйти^
ui-quit-to-menu;Quit to menu;Выйти в меню^
ui-restart;Restart;Начать заново^
unit-snake-name;Snake;Змеюка^
unittag-mechanical;Mechanical;Механический^
unittag-organic;Organic;Органический^
unittag-robotic;Robotic;Роботический^
validator-enough-control-reserve;Not enought control points (#);Недостаточно очков контроля (#)^
validator-enough-control-slots;Not enough control slots (#);Недостаточно ячеек контроля (#)^
validator-has-different-owner;Can't target your own units;Нельзя выбирать своих юнитов^
validator-has-same-owner;Target your own unit;Выберите своего юнита^
validator-is-air;Target must be air;Цель должна быть воздушной^
validator-is-cloaked;Target must be cloaked;Цель должна быть замаскированной^
validator-is-friendly;Target must be friendly;Цель должна быть дружественной^
validator-is-hostile;Target must be hostile;Цель должна быть враждебной^
validator-is-not-air;Target cannot be air;Цель не должна быть воздушной^
validator-is-not-cloaked;Target cannot be cloaked;Цель не должна быть замаскированной^
validator-is-not-friendly;Target cannot be friendly;Цель не должна быть дружественной^
validator-is-not-hostile;Target cannot be hostile;Цель не должна быть враждебной^
validator-is-not-uncontrollable;Cannot control this unit;Этого юнита нельзя контроллировать^
